SAMPLE,Recvd Wt.,Au,Ag,Al,As,B,Ba,Be,Bi,Ca,Cd,Ce,Co,Cr,Cs,Cu,Fe,Ga,Ge,Hf,Hg,In,K,La,Li,Mg,Mn,Mo,Na,Nb,Ni,P,Pb,Rb,Re,S,Sb,Sc,Se,Sn,Sr,Ta,Te,Th,Ti,Tl,U,V,W,Y,Zn,Zr,foldername,filename,Au_2
PN0000995012,0.26,0.003,0.02,0.93,9.8,<10,60,0.29,0.13,0.28,0.03,30.5,7.3,6,0.39,23.5,1.79,2.69,0.07,0.02,0.02,0.023,0.03,21.4,11.8,0.39,260,0.18,<0.01,0.07,4.5,190,4.1,1.8,<0.001,0.01,0.45,3.5,<0.2,0.3,11.8,0.01,0.05,2.8,<0.005,0.02,0.38,15,<0.05,36.8,42,0.6,Soil Certificates,TU22073827.csv,
PN0000995013,0.22,0.002,0.06,2.07,18.2,<10,150,0.46,0.17,1.39,0.21,27.3,16.7,22,0.69,54.6,3.91,5.58,0.07,0.06,0.04,0.024,0.17,12.8,13.9,1.11,937,0.81,<0.01,0.24,14.0,560,11.3,9.0,<0.001,0.02,0.63,4.7,0.3,0.4,38.0,<0.01,0.04,1.9,0.015,0.07,0.30,45,0.07,12.05,76,1.7,Soil Certificates,TU22073827.csv,
PN0000995014,0.25,0.004,0.05,2.06,24.0,<10,100,0.41,0.06,7.95,0.11,22.9,18.8,36,0.58,59.4,3.35,4.67,0.05,0.06,0.04,0.013,0.06,10.8,13.2,1.20,686,0.25,<0.01,0.15,16.2,420,3.7,3.4,<0.001,0.02,0.57,3.5,0.4,0.2,64.2,<0.01,0.04,1.6,0.006,0.04,0.25,50,0.08,11.60,60,1.6,Soil Certificates,TU22073827.csv,
PN0000995015,0.24,0.011,0.06,1.75,4.2,<10,170,0.30,0.05,0.72,0.06,10.75,14.8,11,0.11,31.8,3.35,3.69,<0.05,0.03,0.08,0.007,0.02,5.6,7.1,0.86,732,0.19,<0.01,0.12,6.3,270,2.9,1.1,<0.001,0.01,0.56,2.6,0.3,<0.2,26.9,<0.01,0.02,0.9,0.012,<0.02,0.25,30,<0.05,7.70,49,0.6,Soil Certificates,TU22073827.csv,
PN0000995016,0.27,0.005,0.04,2.51,11.2,<10,80,0.24,0.09,7.85,0.17,16.15,24.0,22,0.31,50.8,4.68,6.35,0.06,0.04,0.04,0.025,0.07,8.3,14.8,1.54,970,0.23,<0.01,0.08,17.0,600,5.1,3.0,<0.001,0.02,0.26,8.5,0.2,0.2,105.5,<0.01,0.04,1.1,0.008,0.02,0.17,77,0.05,10.90,63,1.2,Soil Certificates,TU22073827.csv,
PN0000995017,0.27,0.005,0.04,1.99,87.3,<10,150,0.39,0.08,3.91,0.12,21.0,23.6,29,1.66,69.0,4.60,5.72,0.07,0.06,0.05,0.031,0.09,10.2,13.0,1.16,1070,0.78,<0.01,0.12,18.8,330,5.0,7.2,0.001,0.01,2.95,11.8,0.2,0.2,39.7,<0.01,0.03,1.9,0.009,0.07,0.34,80,0.10,12.50,65,1.5,Soil Certificates,TU22073827.csv,
PN0000995018,0.26,0.018,0.14,3.04,113.0,<10,50,0.36,0.06,0.98,0.20,12.15,80.7,96,0.45,288,7.34,10.90,0.08,0.05,1.10,0.037,0.02,5.1,14.6,1.57,1425,0.73,<0.01,0.05,106.5,200,2.8,1.1,<0.001,0.01,2.70,16.1,0.8,0.3,26.3,<0.01,0.07,0.9,0.058,0.15,0.41,197,<0.05,13.90,91,1.2,Soil Certificates,TU22073827.csv,
PN0000995019,0.25,0.004,0.04,2.34,35.3,<10,90,0.29,0.06,9.86,0.12,15.75,20.5,20,0.95,55.5,3.89,5.49,0.05,0.06,0.05,0.023,0.05,8.8,17.4,1.44,854,0.25,<0.01,0.10,15.4,340,3.7,3.7,<0.001,0.01,1.07,8.7,0.3,0.2,117.0,<0.01,0.05,1.3,0.008,0.04,0.22,71,0.06,10.65,53,1.7,Soil Certificates,TU22073827.csv,
PN0000995020,0.28,0.006,0.06,2.95,43.9,<10,190,1.01,0.06,1.19,0.16,48.5,44.0,18,3.08,62.7,8.29,11.55,0.10,0.07,0.06,0.045,0.06,13.2,16.5,1.16,2610,0.83,<0.01,<0.05,19.8,300,4.2,3.7,0.001,0.01,1.00,25.3,0.4,0.5,42.9,0.01,0.07,1.6,0.010,0.06,0.47,177,<0.05,32.7,88,0.9,Soil Certificates,TU22073827.csv,
PN0000995021,0.27,0.007,0.03,0.68,5.9,<10,70,0.26,0.24,0.22,0.04,35.8,8.1,6,0.54,36.4,2.25,1.86,0.07,<0.02,0.04,0.025,0.04,17.0,7.7,0.23,288,0.35,<0.01,0.08,4.6,140,6.1,2.9,<0.001,0.01,0.26,3.5,0.2,0.2,10.7,<0.01,0.11,2.5,0.008,0.02,0.30,21,0.06,13.30,37,<0.5,Soil Certificates,TU22073827.csv,
PN0000995022,0.26,0.006,0.06,1.65,10.8,<10,80,0.43,0.35,0.32,0.15,55.5,11.6,12,0.77,46.3,3.07,4.70,0.09,0.04,0.05,0.029,0.12,29.8,24.8,0.60,458,0.54,<0.01,0.23,9.8,350,19.1,7.6,<0.001,0.02,0.45,3.6,0.4,0.5,26.5,<0.01,0.12,3.9,0.011,0.05,0.56,25,0.07,11.40,66,1.4,Soil Certificates,TU22073827.csv,
PN0000995023,0.28,0.003,0.08,2.97,22.8,<10,160,0.71,0.22,0.69,0.31,36.9,37.8,21,1.40,62.3,7.56,11.35,0.12,0.06,0.08,0.065,0.12,18.2,18.6,1.23,2990,0.94,0.01,0.12,18.5,560,14.3,6.5,<0.001,0.02,0.73,18.2,0.5,0.6,39.1,0.01,0.06,2.1,0.044,0.06,0.37,178,<0.05,29.9,104,1.7,Soil Certificates,TU22073827.csv,
PN0000995024,0.22,0.004,0.08,1.76,32.9,<10,130,0.49,0.39,0.51,0.32,40.0,15.4,13,1.19,56.6,3.89,5.36,0.08,0.06,0.06,0.040,0.21,20.0,16.0,0.78,850,0.95,0.01,0.36,12.2,590,23.3,10.8,<0.001,0.03,0.71,5.7,0.5,0.6,30.0,<0.01,0.12,2.9,0.016,0.08,0.53,43,0.07,15.10,90,2.0,Soil Certificates,TU22073827.csv,
PN0000995025,0.21,0.005,0.05,1.36,18.7,<10,80,0.36,0.26,0.31,0.08,40.6,11.0,10,0.65,51.0,3.18,3.89,0.10,0.04,0.05,0.023,0.09,25.6,17.4,0.49,415,0.71,<0.01,0.14,8.7,270,10.6,5.4,<0.001,0.01,0.42,3.7,0.4,0.3,22.7,<0.01,0.12,3.6,0.006,0.04,0.56,24,0.06,11.60,62,1.5,Soil Certificates,TU22073827.csv,
PN0000995026,0.20,0.003,0.04,1.88,9.5,10,130,0.46,0.10,5.86,0.07,24.2,12.3,18,0.74,47.6,3.21,4.84,0.06,0.06,0.05,0.018,0.06,13.7,14.4,0.86,395,0.29,0.01,0.27,10.6,310,4.8,3.9,<0.001,0.02,0.49,3.6,0.7,0.3,131.0,<0.01,0.06,1.7,0.012,0.04,0.31,38,0.05,13.20,54,1.6,Soil Certificates,TU22073827.csv,
PN0000995027,0.25,0.002,0.03,0.95,6.1,<10,70,0.33,0.18,0.26,0.06,29.6,8.4,9,0.91,34.2,2.55,2.64,0.08,0.02,0.03,0.030,0.09,22.9,11.5,0.36,329,0.45,<0.01,0.13,7.6,210,7.6,5.4,<0.001,0.01,0.39,4.8,0.4,0.4,15.8,<0.01,0.06,3.4,0.009,0.04,0.44,22,0.07,19.20,55,1.0,Soil Certificates,TU22073827.csv,
PN0000995028,0.22,0.004,0.07,1.94,16.3,<10,140,0.48,0.16,0.80,0.17,38.9,15.6,19,0.64,50.7,3.60,5.47,0.08,0.06,0.06,0.022,0.15,18.9,11.7,0.91,838,0.47,<0.01,0.22,12.0,460,10.0,7.6,<0.001,0.02,0.74,4.2,0.3,0.4,32.6,<0.01,0.04,2.4,0.013,0.06,0.32,38,0.07,18.45,69,1.7,Soil Certificates,TU22073827.csv,
PN0000995029,0.22,0.007,0.07,2.48,14.7,<10,110,0.45,0.10,1.07,0.12,24.8,21.5,23,0.39,64.6,4.31,6.41,0.07,0.07,0.06,0.021,0.06,13.4,14.4,1.27,645,0.32,<0.01,0.20,15.1,310,5.6,3.6,<0.001,0.02,0.73,5.5,0.4,0.3,36.0,<0.01,0.04,2.0,0.013,0.03,0.30,55,0.05,14.90,65,1.9,Soil Certificates,TU22073827.csv,
PN0000995030,0.24,0.014,0.06,2.84,12.7,<10,80,0.38,0.07,0.59,0.07,8.25,30.7,31,0.35,133.5,5.65,6.33,0.06,0.03,0.06,0.012,0.05,4.7,15.5,1.71,912,0.27,<0.01,0.06,16.5,330,3.8,2.1,<0.001,0.01,1.19,5.3,0.3,0.2,31.1,<0.01,0.02,1.1,0.053,0.02,0.32,95,<0.05,7.29,75,1.1,Soil Certificates,TU22073827.csv,
PN0000995031,0.24,0.004,0.05,2.38,19.8,<10,100,0.40,0.09,0.40,0.10,20.8,21.8,36,1.58,64.3,4.74,6.81,0.08,0.04,0.04,0.022,0.08,10.7,13.2,1.39,864,0.35,0.01,0.09,18.0,360,5.2,6.0,<0.001,0.01,1.47,7.9,0.4,0.3,23.3,<0.01,0.02,2.0,0.040,0.06,0.31,77,<0.05,13.15,66,1.4,Soil Certificates,TU22073827.csv,
PN0000995032,0.23,0.002,0.03,1.82,72.1,<10,80,0.36,0.07,7.75,0.10,17.85,21.2,130,0.95,55.7,4.20,5.17,0.06,0.03,0.18,0.025,0.12,8.4,13.1,1.21,1005,0.88,<0.01,0.12,67.4,420,4.2,7.3,0.001,0.01,1.82,7.8,0.4,0.2,68.3,<0.01,0.04,1.8,0.011,0.07,0.40,67,0.10,8.93,62,1.0,Soil Certificates,TU22073827.csv,
PN0000995033,0.25,0.004,0.09,2.49,63.3,<10,140,0.55,0.29,0.52,0.31,27.3,31.0,131,0.97,89.7,5.40,8.56,0.09,0.08,0.12,0.042,0.13,12.6,16.2,1.47,1455,0.71,<0.01,0.17,72.4,410,15.4,7.4,<0.001,0.01,3.38,10.6,0.3,0.6,34.8,<0.01,0.07,2.6,0.058,0.10,0.41,102,0.16,12.90,72,2.4,Soil Certificates,TU22073827.csv,
PN0000995034,0.25,0.002,0.05,2.76,27.4,<10,60,0.51,0.10,4.70,0.23,23.1,42.3,413,1.16,103.5,4.99,8.54,0.09,0.07,0.03,0.031,0.09,11.6,23.3,2.56,876,0.40,<0.01,0.28,251,350,5.4,8.4,<0.001,0.01,4.29,9.9,0.4,0.4,43.4,<0.01,0.04,1.9,0.082,0.09,0.23,96,0.08,8.27,65,1.9,Soil Certificates,TU22073827.csv,
PN0000995035,0.25,0.003,0.05,2.63,25.8,<10,60,0.52,0.09,4.69,0.22,21.1,39.1,400,1.04,96.8,4.82,7.66,0.08,0.06,0.03,0.027,0.09,10.6,20.9,2.49,869,0.38,<0.01,0.23,246,360,5.0,7.5,<0.001,0.01,4.22,8.5,0.4,0.3,40.0,<0.01,0.04,1.6,0.054,0.08,0.21,93,0.09,7.31,64,1.6,Soil Certificates,TU22073827.csv,
PN0000995036,0.21,0.002,0.06,2.85,25.4,<10,60,0.50,0.11,4.39,0.22,22.3,40.6,422,1.12,102.0,5.11,8.15,0.08,0.06,0.03,0.028,0.10,11.2,22.5,2.62,908,0.39,<0.01,0.28,257,370,5.7,8.2,<0.001,0.02,3.98,9.1,0.3,0.4,40.3,<0.01,0.04,1.9,0.078,0.08,0.23,98,0.08,7.82,67,1.8,Soil Certificates,TU22073827.csv,
PN0000995037,0.21,0.002,0.05,2.88,25.8,<10,60,0.49,0.10,4.57,0.22,22.4,40.3,429,1.16,102.5,5.14,8.12,0.08,0.06,0.03,0.030,0.10,11.2,22.6,2.65,924,0.40,0.01,0.27,260,370,5.7,8.2,<0.001,0.02,4.01,9.5,0.2,0.4,40.9,<0.01,0.04,1.9,0.087,0.09,0.24,99,0.07,7.95,68,1.8,Soil Certificates,TU22073827.csv,
PN0000995038,0.19,0.003,0.09,2.65,8.9,<10,70,0.44,0.18,0.59,0.28,17.45,31.6,69,0.82,154.5,5.33,6.14,0.07,0.08,0.05,0.024,0.12,9.1,12.2,1.42,820,0.38,<0.01,0.23,64.0,370,8.5,8.8,<0.001,0.02,0.59,9.2,0.4,0.5,25.6,<0.01,0.05,2.4,0.093,0.08,0.41,84,<0.05,7.69,72,2.5,Soil Certificates,TU22073827.csv,
PN0000995039,0.25,0.004,0.08,2.40,9.0,<10,70,0.42,0.19,0.51,0.29,17.40,32.3,66,0.77,147.5,5.03,5.88,0.07,0.07,0.05,0.024,0.13,8.9,11.4,1.38,810,0.39,<0.01,0.25,63.9,370,9.3,8.9,<0.001,0.02,0.58,8.2,0.4,0.5,24.3,<0.01,0.05,2.4,0.065,0.08,0.38,80,0.05,7.24,71,2.3,Soil Certificates,TU22073827.csv,
PN0000995040,0.25,0.004,0.14,2.44,13.6,<10,100,0.60,0.14,2.13,0.27,22.9,25.0,119,1.18,84.8,4.53,6.86,0.08,0.05,0.06,0.034,0.25,12.6,14.2,1.66,970,0.64,0.01,0.33,75.2,340,8.8,16.6,<0.001,0.02,0.53,9.4,0.3,0.5,48.1,<0.01,0.06,2.8,0.043,0.16,0.37,84,0.07,9.31,75,1.7,Soil Certificates,TU22073827.csv,
PN0000995041,0.26,0.003,0.07,2.68,13.6,<10,100,0.38,0.24,0.85,0.25,20.5,23.3,22,0.74,84.2,4.95,6.53,0.07,0.06,0.05,0.028,0.16,10.2,15.3,1.51,963,0.35,0.01,0.21,15.2,470,12.0,7.3,<0.001,0.02,0.75,5.5,0.4,0.5,27.9,<0.01,0.06,1.9,0.036,0.06,0.30,70,0.10,10.95,78,1.7,Soil Certificates,TU22073827.csv,
PN0000995042,0.22,0.004,0.14,2.52,13.0,<10,90,0.59,0.12,2.92,0.26,22.2,23.9,125,1.20,82.4,4.49,6.94,0.07,0.05,0.06,0.032,0.25,12.4,14.3,1.67,942,0.62,0.01,0.33,76.8,320,7.7,15.9,<0.001,0.02,0.47,9.2,0.4,0.5,56.6,<0.01,0.05,2.6,0.049,0.16,0.37,83,0.06,9.25,73,1.5,Soil Certificates,TU22073827.csv,
PN0000995043,0.25,0.037,0.41,1.88,40.5,<10,50,0.47,0.21,7.47,0.47,21.7,25.2,206,0.56,71.6,6.42,6.20,0.11,0.05,0.18,0.036,0.14,9.9,16.2,1.92,2850,0.99,0.01,0.14,138.5,500,18.4,7.5,<0.001,0.04,4.81,7.2,0.7,0.2,168.5,<0.01,0.13,2.1,0.022,0.08,0.79,66,0.07,5.27,96,1.5,Soil Certificates,TU22073827.csv,
PN0000995044,0.21,0.040,0.43,1.83,40.2,<10,50,0.45,0.17,7.75,0.46,18.90,24.3,209,0.51,65.2,5.79,5.86,0.09,0.05,0.19,0.031,0.13,8.8,15.4,1.91,2620,0.90,0.01,0.15,137.0,450,14.9,6.6,<0.001,0.04,4.72,6.6,0.6,0.2,184.5,<0.01,0.13,1.6,0.018,0.07,0.71,66,0.06,4.90,88,1.4,Soil Certificates,TU22073827.csv,
PN0000995045,0.22,0.012,0.06,1.58,422,<10,110,0.57,0.29,0.92,0.22,24.1,26.4,151,1.26,58.4,4.08,4.84,0.06,0.04,0.04,0.027,0.17,11.2,16.0,0.94,1350,0.81,<0.01,0.17,131.5,240,8.2,13.4,<0.001,0.02,14.50,5.8,0.2,0.4,38.8,<0.01,0.06,2.1,0.011,0.11,0.46,46,0.14,7.73,71,1.2,Soil Certificates,TU22073827.csv,
PN0000995046,0.24,0.012,0.08,1.86,440,<10,120,0.65,0.34,0.94,0.24,28.4,29.8,175,1.46,62.1,4.39,5.71,0.06,0.04,0.05,0.030,0.20,13.4,20.7,1.07,1370,0.81,0.01,0.20,148.5,250,9.1,15.6,<0.001,0.02,14.60,7.8,0.4,0.4,43.9,<0.01,0.06,2.6,0.014,0.12,0.56,51,0.12,8.77,76,1.4,Soil Certificates,TU22073827.csv,
PN0000995047,0.26,0.005,0.07,2.46,67.1,<10,90,0.54,0.07,8.54,0.16,26.2,35.1,421,0.98,84.0,4.64,8.04,0.08,0.04,0.04,0.031,0.19,14.1,20.0,2.26,901,0.38,<0.01,0.23,248,330,4.1,9.8,<0.001,0.02,4.18,6.4,0.5,0.2,140.5,<0.01,0.04,1.5,0.044,0.10,0.20,90,0.07,5.52,60,1.1,Soil Certificates,TU22073827.csv,
PN0000995048,0.22,0.022,0.96,1.98,20.8,<10,50,0.42,0.21,9.83,1.11,15.75,23.1,52,0.69,90.3,4.70,5.64,0.07,0.09,0.60,0.030,0.16,7.8,12.4,1.26,988,1.17,0.02,0.26,52.7,580,14.4,9.9,<0.001,0.12,3.95,4.3,1.2,0.3,124.5,<0.01,0.16,1.4,0.013,0.25,0.61,57,0.07,6.91,115,2.4,Soil Certificates,TU22073827.csv,
PN0000995049,0.23,0.021,0.65,1.30,22.8,<10,40,0.40,0.36,8.51,0.47,11.65,17.3,30,0.29,67.5,4.70,5.34,0.06,0.11,0.30,0.029,0.09,5.3,8.5,0.84,835,1.17,0.02,0.16,40.3,420,25.0,3.7,<0.001,0.09,5.69,3.7,1.2,0.2,173.5,<0.01,0.25,1.3,0.007,0.09,0.54,41,0.06,3.67,102,2.8,Soil Certificates,TU22073827.csv,
PN0000995050,0.20,0.011,0.19,1.96,31.5,<10,50,0.33,0.13,8.04,0.37,14.25,23.9,41,0.63,80.0,4.88,5.84,0.07,0.08,0.07,0.026,0.14,6.8,16.6,1.74,871,0.84,0.01,0.22,47.6,440,8.8,7.7,<0.001,0.03,6.51,6.2,0.6,0.2,139.0,<0.01,0.07,1.5,0.016,0.08,0.48,73,0.07,5.78,84,2.2,Soil Certificates,TU22073827.csv,
PN0000995051,0.26,0.008,0.06,1.78,20.9,<10,110,0.38,0.15,0.46,0.09,25.3,12.9,15,0.54,52.0,3.76,4.67,0.08,0.05,0.06,0.022,0.09,16.3,14.6,0.79,626,0.48,0.01,0.18,9.9,330,6.1,4.9,<0.001,<0.01,0.55,4.7,0.3,0.2,28.2,<0.01,0.07,2.6,0.013,0.04,0.35,37,<0.05,12.40,75,1.9,Soil Certificates,TU22073823.csv,
PN0000995052,0.21,0.006,0.06,1.50,3.9,<10,110,0.39,0.22,1.21,0.09,34.4,10.4,12,0.97,43.3,3.02,3.97,0.08,0.05,0.05,0.022,0.10,19.6,20.7,0.59,528,0.39,0.01,0.25,10.7,370,6.7,7.7,<0.001,0.01,0.27,3.1,0.3,0.3,24.1,<0.01,0.12,2.1,0.008,0.05,0.35,25,0.09,9.21,76,1.6,Soil Certificates,TU22073823.csv,
PN0000995053,0.30,0.004,0.03,0.57,7.7,<10,50,0.21,0.09,0.24,0.02,17.85,4.2,3,0.57,21.3,1.73,1.17,0.06,<0.02,0.04,0.027,0.03,14.3,3.7,0.12,168,0.26,<0.01,<0.05,2.5,160,2.7,1.9,<0.001,<0.01,0.46,3.9,0.2,0.2,11.4,<0.01,0.06,2.0,<0.005,0.02,0.32,12,<0.05,17.25,28,<0.5,Soil Certificates,TU22073823.csv,
PN0000995054,0.26,0.003,0.06,2.78,10.8,<10,140,0.51,0.12,0.56,0.09,21.9,17.2,34,0.52,52.9,4.41,6.46,0.07,0.07,0.04,0.019,0.09,12.8,13.6,1.09,690,0.39,0.01,0.16,15.8,230,6.2,4.7,<0.001,<0.01,0.45,5.1,0.3,0.4,34.4,<0.01,0.04,3.1,0.052,0.04,0.47,68,0.05,10.35,64,2.1,Soil Certificates,TU22073823.csv,
PN0000995055,0.23,0.004,0.07,2.81,10.8,<10,120,0.48,0.15,0.59,0.14,22.6,19.4,34,0.63,62.4,4.53,6.47,0.07,0.08,0.05,0.022,0.17,11.4,15.8,1.42,862,0.37,0.01,0.18,16.8,440,7.5,9.8,<0.001,0.01,0.51,5.5,0.2,0.4,33.5,<0.01,0.03,2.5,0.038,0.07,0.34,60,<0.05,9.91,77,2.4,Soil Certificates,TU22073823.csv,
PN0000995056,0.22,0.002,0.05,2.60,11.0,<10,140,0.47,0.14,0.59,0.14,31.2,14.5,21,0.37,37.0,4.58,6.71,0.09,0.09,0.05,0.023,0.17,18.4,13.5,1.00,524,0.49,0.01,0.22,11.8,810,7.7,7.4,<0.001,0.01,0.45,5.6,0.4,0.3,28.6,<0.01,0.04,2.7,0.006,0.05,0.30,47,0.05,11.00,71,3.2,Soil Certificates,TU22073823.csv,
PN0000995057,0.26,0.006,0.06,2.34,8.8,<10,120,0.31,0.08,0.46,0.09,9.83,18.9,15,0.22,64.8,4.52,5.60,0.05,0.04,0.05,0.010,0.05,6.1,11.3,1.30,820,0.21,0.01,0.11,8.4,380,4.3,1.9,<0.001,<0.01,0.65,3.5,0.3,0.2,26.1,<0.01,0.02,1.2,0.052,0.02,0.29,66,<0.05,7.06,63,1.3,Soil Certificates,TU22073823.csv,
PN0000995058,0.25,0.010,0.07,2.96,18.5,<10,100,0.30,0.06,0.54,0.10,23.4,25.4,21,0.48,78.7,5.16,6.93,0.09,0.05,0.05,0.021,0.07,16.1,17.1,1.53,1300,0.24,<0.01,0.10,12.8,360,5.0,3.8,<0.001,<0.01,0.66,9.1,0.4,0.2,24.2,<0.01,0.03,1.8,0.013,0.03,0.23,74,0.07,14.80,68,1.7,Soil Certificates,TU22073823.csv,
PN0000995059,0.25,0.007,0.06,1.96,71.3,<10,120,0.37,0.08,1.86,0.11,15.60,24.7,34,0.70,102.5,5.72,5.32,0.08,0.04,0.10,0.030,0.06,10.4,12.4,0.99,899,0.62,0.01,0.13,20.8,360,4.6,3.3,<0.001,<0.01,3.71,15.2,0.3,0.2,33.5,<0.01,0.04,1.5,0.023,0.04,0.42,97,<0.05,13.40,70,1.0,Soil Certificates,TU22073823.csv,
PN0000995060,0.26,0.009,0.10,3.11,86.3,<10,90,0.56,0.13,1.30,0.19,25.2,31.7,170,1.74,100.5,6.18,10.20,0.10,0.07,0.09,0.045,0.13,13.6,18.3,1.94,1185,0.62,0.01,0.25,94.7,420,6.8,9.7,<0.001,0.01,4.28,15.5,0.4,0.4,39.2,<0.01,0.06,2.0,0.062,0.13,0.44,143,0.10,13.10,83,1.9,Soil Certificates,TU22073823.csv,
PN0000995061,0.22,0.009,0.10,2.99,28.3,<10,70,0.35,0.23,0.53,0.27,18.20,42.3,133,0.87,158.5,6.13,9.35,0.07,0.07,0.08,0.039,0.12,8.6,19.8,1.83,1025,0.45,0.01,0.17,97.3,430,11.5,6.7,<0.001,0.02,3.99,11.1,0.4,0.5,27.8,<0.01,0.07,2.3,0.083,0.07,0.41,147,0.11,11.10,80,2.3,Soil Certificates,TU22073823.csv,
PN0000995062,0.21,0.022,0.18,3.63,25.4,<10,50,0.28,0.09,0.65,0.17,9.63,41.8,85,0.30,144.5,7.71,10.20,0.06,0.05,0.09,0.027,0.08,5.2,16.9,2.02,1460,0.39,<0.01,0.10,65.7,360,4.1,3.1,<0.001,0.02,2.93,15.4,0.4,0.3,27.7,<0.01,0.05,1.4,0.083,0.03,0.33,210,0.19,9.47,86,1.5,Soil Certificates,TU22073823.csv,
PN0000995063,0.22,0.013,0.11,0.65,337,<10,80,0.18,0.05,13.55,0.34,6.96,30.0,24,0.40,81.6,3.85,1.66,<0.05,0.02,0.22,0.014,0.06,3.0,5.7,0.34,2340,0.84,<0.01,0.08,64.7,260,4.2,3.1,0.001,0.02,5.69,3.4,0.8,<0.2,81.0,<0.01,0.06,0.6,0.005,0.09,1.46,30,0.23,5.33,75,0.7,Soil Certificates,TU22073823.csv,
PN0000995064,0.22,0.001,0.03,1.79,27.7,<10,70,0.26,0.03,15.35,0.11,13.90,39.1,421,1.30,79.3,3.95,5.27,0.05,0.03,0.04,0.021,0.06,7.8,15.0,1.77,748,0.32,<0.01,0.08,325,330,1.7,2.9,<0.001,0.02,0.90,8.9,0.3,<0.2,142.5,<0.01,0.03,0.7,0.017,0.05,0.41,80,<0.05,5.23,44,0.8,Soil Certificates,TU22073823.csv,
PN0000995065,0.24,0.005,0.10,2.45,5.9,<10,90,0.52,0.12,0.57,0.21,19.50,30.5,62,0.90,137.5,5.20,6.96,0.06,0.07,0.06,0.019,0.10,10.8,13.8,1.23,775,0.32,0.01,0.18,54.6,350,5.5,7.5,<0.001,0.02,0.37,8.4,0.3,0.4,30.6,<0.01,0.04,3.4,0.091,0.09,0.54,102,0.06,9.90,72,2.9,Soil Certificates,TU22073823.csv,
PN0000995066,0.21,0.010,0.08,2.71,27.7,<10,60,0.35,0.20,0.73,0.28,11.40,43.1,62,0.48,157.0,6.93,7.92,0.07,0.07,0.07,0.021,0.08,5.9,12.0,1.35,1010,0.36,0.01,0.15,63.8,390,8.6,4.4,<0.001,0.02,0.49,10.7,0.3,0.4,30.1,<0.01,0.06,1.5,0.113,0.05,0.35,132,<0.05,9.26,89,2.1,Soil Certificates,TU22073823.csv,
PN0000995067,0.27,0.002,0.03,1.70,3.4,<10,70,0.13,0.04,17.35,0.21,6.01,23.8,274,0.86,60.5,2.93,4.28,0.06,<0.02,0.02,0.031,0.23,3.1,10.6,1.83,1855,0.12,<0.01,0.06,150.0,210,4.7,8.8,<0.001,0.01,0.21,10.5,0.3,<0.2,364,<0.01,0.04,0.4,0.069,0.07,0.08,72,<0.05,4.72,31,<0.5,Soil Certificates,TU22073823.csv,
PN0000995068,0.25,0.003,0.08,2.21,23.4,<10,150,0.31,0.12,11.20,0.25,21.3,31.0,429,0.68,80.2,4.20,6.00,0.05,0.03,0.03,0.026,0.13,11.8,15.2,2.35,1035,0.30,0.01,0.21,289,400,7.1,7.2,<0.001,0.03,1.15,4.2,0.3,0.2,269,<0.01,0.05,1.3,0.041,0.07,0.21,78,0.06,5.29,61,0.9,Soil Certificates,TU22073823.csv,
PN0000995069,0.25,0.006,0.05,2.07,10.4,<10,40,0.34,0.02,16.10,0.14,18.95,29.9,628,0.22,76.8,3.62,7.18,0.09,<0.02,0.03,0.039,0.03,11.0,16.6,2.71,1380,0.09,<0.01,0.10,215,260,2.6,1.8,<0.001,0.02,0.52,8.2,0.4,<0.2,468,<0.01,0.03,0.6,0.043,0.02,0.12,88,<0.05,4.16,31,<0.5,Soil Certificates,TU22073823.csv,
PN0000995070,0.25,0.003,0.07,2.64,46.9,10,100,0.54,0.15,3.19,0.20,25.2,37.1,370,1.14,68.2,5.34,8.45,0.07,0.05,0.04,0.039,0.23,11.4,28.8,2.05,941,0.53,0.01,0.26,252,340,8.3,14.0,<0.001,0.02,4.43,11.4,0.3,0.4,45.0,<0.01,0.06,2.3,0.023,0.12,0.39,99,0.07,8.17,75,1.5,Soil Certificates,TU22073823.csv,
PN0000995071,0.24,0.004,0.02,2.06,13.8,<10,100,0.30,0.02,17.00,0.13,20.5,28.5,456,0.81,76.5,3.41,6.35,0.07,<0.02,0.02,0.025,0.13,13.5,14.2,2.32,1200,0.11,<0.01,0.17,238,300,2.0,6.1,<0.001,0.02,2.60,6.3,0.4,<0.2,288,<0.01,0.04,0.7,0.074,0.10,0.11,88,<0.05,3.59,35,<0.5,Soil Certificates,TU22073823.csv,
PN0000995072,0.22,0.020,0.10,1.47,221,10,160,0.56,0.33,0.54,0.82,28.8,15.7,49,0.86,64.1,4.91,3.90,0.06,0.07,0.07,0.028,0.30,14.4,13.3,0.61,1225,1.09,0.01,0.41,57.2,740,17.5,16.5,<0.001,0.03,7.07,4.0,0.5,0.5,32.1,<0.01,0.09,4.3,0.023,0.15,0.60,46,0.16,9.44,139,2.4,Soil Certificates,TU22073823.csv,
